league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ESP-La Liga,2526,Athletic Club,Nico Williams,ESP,MF,23,2002,25,20,1674,18.6,6,3,9,5,1,2,2,0,0.32,0.16,0.48,0.27,0.43,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Nicolás Serrano,ESP,MF,22,2003,16,4,366,4.1,1,0,1,1,0,0,0,0,0.25,0.0,0.25,0.25,0.25,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Oihan Sancet,ESP,MF,25,2000,28,22,1788,19.9,4,0,4,2,2,2,4,1,0.2,0.0,0.2,0.1,0.1,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Roberto Navarro,ESP,MF,23,2002,32,10,1307,14.5,6,1,7,6,0,0,1,0,0.41,0.07,0.48,0.41,0.48,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Selton Sánchez,ESP,MF,18,2007,7,2,196,2.2,0,1,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Unai Gómez,ESP,MF,22,2003,26,12,936,10.4,1,1,2,1,0,0,1,0,0.1,0.1,0.19,0.1,0.19,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Unai Simón,ESP,GK,28,1997,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Urko Izeta,ESP,FW,25,1999,13,1,193,2.1,1,0,1,1,0,0,2,0,0.47,0.0,0.47,0.47,0.47,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Yeray Álvarez,ESP,DF,30,1995,7,6,513,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Yuri Berchiche,ESP,DF,35,1990,32,31,2705,30.1,0,6,6,0,0,0,5,0,0.0,0.2,0.2,0.0,0.2,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Álex Berenguer,ESP,MF,30,1995,31,25,2154,23.9,2,3,5,2,0,0,4,0,0.08,0.13,0.21,0.08,0.21,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Ademola Lookman,NGA,"FW,MF",27,1997,12,9,617,6.9,4,0,4,3,1,1,1,0,0.58,0.0,0.58,0.44,0.44,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Aleksa Puric,SRB,DF,22,2003,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Alexander Sørloth,NOR,FW,29,1995,35,20,1980,22.0,13,0,13,13,0,0,4,1,0.59,0.0,0.59,0.59,0.59,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Antoine Griezmann,FRA,FW,34,1991,34,13,1481,16.5,7,4,11,7,0,0,1,0,0.43,0.24,0.67,0.43,0.67,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Clément Lenglet,FRA,DF,30,1995,19,17,1391,15.5,0,1,1,0,0,0,6,1,0.0,0.06,0.06,0.0,0.06,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Conor Gallagher,ENG,MF,25,2000,19,4,679,7.5,2,0,2,2,0,0,2,0,0.27,0.0,0.27,0.27,0.27,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Daniel Martinez,ESP,DF,21,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Dávid Hancko,SVK,DF,27,1997,30,27,2432,27.0,0,2,2,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Giacomo Raspadori,ITA,FW,25,2000,12,1,236,2.6,0,1,1,0,0,0,1,0,0.0,0.38,0.38,0.0,0.38,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Giuliano Simeone,ARG,"MF,FW",22,2002,31,25,2099,23.3,4,6,10,4,0,0,2,0,0.17,0.26,0.43,0.17,0.43,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Iker Luque,ESP,DF,20,2005,1,0,28,0.3,1,0,1,1,0,0,0,0,3.21,0.0,3.21,3.21,3.21,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Jan Oblak,SVN,GK,32,1993,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Jano Monserrate,ESP,MF,19,2006,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
