league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
GER-Bundesliga,2324,Freiburg,Manuel Gulde,GER,DF,32,1991,22.7,1,12,1,8.3,0.53,0.04,0.08,1.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Matthias Ginter,GER,DF,29,1994,21.3,0,7,4,57.1,0.33,0.19,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Maximilian Breunig,GER,FW,22,2000,0.1,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Maximilian Eggestein,GER,MF,26,1996,32.4,1,39,8,20.5,1.2,0.25,0.03,0.13,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Maximilian Philipp,GER,FW,29,1994,3.6,1,9,3,33.3,2.51,0.84,0.11,0.33,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Merlin Röhl,GER,"MF,FW",21,2002,16.4,2,24,8,33.3,1.46,0.49,0.08,0.25,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Michael Gregoritsch,AUT,FW,29,1994,18.7,7,72,31,43.1,3.85,1.66,0.1,0.23,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Nicolas Höfler,GER,MF,33,1990,25.9,1,16,1,6.3,0.62,0.04,0.06,1.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Noah Atubolu,GER,GK,21,2002,34.0,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Noah Weißhaupt,GER,MF,21,2001,8.4,1,4,1,25.0,0.47,0.12,0.25,1.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Philipp Lienhart,AUT,DF,27,1996,14.1,1,7,3,42.9,0.5,0.21,0.14,0.33,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Ritsu Doan,JPN,MF,25,1998,25.0,7,37,19,51.4,1.48,0.76,0.19,0.37,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Roland Sallai,HUN,"MF,FW",26,1997,20.4,3,56,19,33.9,2.74,0.93,0.05,0.16,0,1,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Vincenzo Grifo,ITA,MF,30,1993,25.8,8,49,19,38.8,1.9,0.74,0.04,0.11,6,6,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
