league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
ESP-La Liga,2526,Athletic Club,Roberto Navarro,ESP,MF,23,2002,14.5,1,0,0,18,16,4,74,7,10,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Selton Sánchez,ESP,MF,18,2007,2.2,0,0,0,5,5,1,0,1,2,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Unai Gómez,ESP,MF,22,2003,10.4,1,0,0,12,6,4,23,3,8,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Unai Simón,ESP,GK,28,1997,37.0,1,0,0,0,8,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Urko Izeta,ESP,FW,25,1999,2.1,2,0,0,5,1,0,2,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Yeray Álvarez,ESP,DF,30,1995,5.7,0,0,0,3,5,0,2,14,1,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Yuri Berchiche,ESP,DF,35,1990,30.1,5,0,0,26,34,3,64,34,29,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Athletic Club,Álex Berenguer,ESP,MF,30,1995,23.9,4,0,0,28,38,6,199,13,17,,,1,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Ademola Lookman,NGA,"FW,MF",27,1997,6.9,1,0,0,7,10,7,12,1,3,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Aleksa Puric,SRB,DF,22,2003,0.5,0,0,0,1,1,0,0,2,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Alexander Sørloth,NOR,FW,29,1995,22.0,4,1,0,30,16,11,10,0,7,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Antoine Griezmann,FRA,FW,34,1991,16.5,1,0,0,4,10,15,80,8,9,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Clément Lenglet,FRA,DF,30,1995,15.5,6,1,1,22,7,0,2,20,10,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Conor Gallagher,ENG,MF,25,2000,7.5,2,0,0,18,9,2,11,11,12,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Daniel Martinez,ESP,DF,21,2004,1.0,0,0,0,1,0,0,1,1,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Dávid Hancko,SVK,DF,27,1997,27.0,2,0,0,15,4,2,29,19,27,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Giacomo Raspadori,ITA,FW,25,2000,2.6,1,0,0,3,7,2,9,0,1,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Giuliano Simeone,ARG,"MF,FW",22,2002,23.3,2,0,0,21,40,7,48,20,25,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Iker Luque,ESP,DF,20,2005,0.3,0,0,0,2,0,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Jan Oblak,SVN,GK,32,1993,30.0,0,0,0,0,4,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Jano Monserrate,ESP,MF,19,2006,0.3,0,0,0,2,1,0,3,0,2,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Javi Galán,ESP,DF,30,1994,1.5,0,0,0,2,3,2,5,1,2,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Javi Morcillo,ESP,MF,19,2006,1.9,2,0,0,6,2,0,0,3,4,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Javier Boñar,ESP,DF,20,2005,3.3,0,0,0,2,2,0,3,0,3,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Johnny Cardoso,USA,MF,23,2001,9.9,5,0,0,23,14,0,3,16,21,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,José María Giménez,URU,DF,30,1995,13.1,3,0,0,20,10,1,0,15,12,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Juan Musso,ARG,GK,31,1994,8.0,2,0,0,1,3,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Julio Diaz,ESP,DF,20,2005,3.4,2,0,0,4,3,1,6,4,3,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Julián Álvarez,ARG,FW,25,2000,21.1,2,0,0,14,18,2,86,3,13,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Koke,ESP,MF,33,1992,24.7,6,0,0,21,22,0,44,19,30,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Marc Pubill,ESP,DF,22,2003,15.3,2,0,0,16,14,1,8,18,15,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",30,1995,24.2,7,1,1,28,11,4,49,13,41,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Matteo Ruggeri,ITA,DF,23,2002,19.7,4,0,0,28,2,1,86,20,23,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Miguel Cubo,ESP,FW,17,2008,0.6,0,0,0,1,3,0,0,0,2,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Nahuel Molina,ARG,"DF,MF",27,1998,14.8,4,0,0,14,5,5,49,14,24,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Nicolás González,ARG,"MF,DF",27,1998,16.1,4,1,0,28,25,2,27,11,16,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Obed Vargas,MEX,MF,19,2005,8.2,2,0,0,4,9,1,6,8,16,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Pablo Barrios,ESP,MF,22,2003,18.5,0,0,0,12,23,0,30,26,16,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Rayane Belaid,ESP,"MF,FW",20,2005,1.5,0,0,0,1,1,1,1,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Robin Le Normand,ESP,DF,28,1996,19.9,5,0,0,22,14,1,3,20,20,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Rodrigo Mendoza,ESP,MF,20,2005,4.8,2,0,0,11,7,0,2,0,3,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Taufik Seidu,ESP,MF,17,2008,0.3,1,0,0,2,0,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Thiago Almada,ARG,"MF,FW",24,2001,14.6,2,1,0,13,16,2,40,9,18,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Atlético Madrid,Álex Baena,ESP,"MF,FW",24,2001,17.3,5,0,0,26,29,9,117,16,11,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Alejandro Balde,ESP,DF,21,2003,20.8,2,0,0,14,25,4,25,6,21,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Alvaro Cortes,ESP,DF,20,2005,1.0,0,0,0,0,1,0,0,1,1,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Andreas Christensen,DEN,DF,29,1996,4.5,2,0,0,6,3,0,0,2,3,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Dani Olmo,ESP,MF,27,1998,23.0,1,0,0,27,42,6,28,14,23,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Dro Fernández,ESP,MF,17,2008,1.0,0,0,0,1,1,1,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Eric García,ESP,"DF,MF",24,2001,30.2,6,0,0,33,24,1,14,50,44,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Fermin López,ESP,MF,22,2003,20.0,3,0,0,34,20,5,36,7,22,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Ferran Torres,ESP,FW,25,2000,21.8,2,0,0,13,20,12,3,4,6,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Frenkie de Jong,NED,MF,28,1997,18.2,4,1,1,10,26,2,5,17,19,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
