league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2324,Le Havre,Issa Soumaré,SEN,"FW,MF",22,2000,2.6,0,5,1,20.0,1.9,0.38,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Josué Casimir,HAI,"MF,FW",21,2001,22.4,0,21,3,14.3,0.94,0.13,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Loïc Nego,HUN,"MF,DF",32,1991,17.3,0,18,4,22.2,1.04,0.23,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Mathieu Gorgelin,FRA,GK,32,1990,1.0,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Mohamed Lamine Bayo,GUI,FW,25,1998,15.4,5,47,19,40.4,3.05,1.23,0.06,0.16,2,2,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Nabil Alioui,FRA,"MF,FW",24,1999,11.2,4,28,9,32.1,2.5,0.8,0.14,0.44,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Nolan Mbemba,CGO,MF,28,1995,0.2,1,2,1,50.0,8.18,4.09,0.5,1.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Oualid El Hajjam,MAR,"DF,MF",32,1991,4.4,0,8,3,37.5,1.83,0.69,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Oussama Targhalline,MAR,MF,21,2002,11.4,0,6,0,0.0,0.53,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Rassoul Ndiaye,SEN,MF,21,2001,5.8,0,5,1,20.0,0.86,0.17,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Samuel Grandsir,FRA,MF,26,1996,6.7,1,15,6,40.0,2.23,0.89,0.07,0.17,0,1,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Simon Ebonog,CMR,MF,18,2004,0.2,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Steve Ngoura,FRA,FW,18,2005,2.5,0,7,2,28.6,2.83,0.81,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Yassine Kechta,MAR,MF,21,2002,20.5,2,20,9,45.0,0.97,0.44,0.1,0.22,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Yoann Salmier,GUF,DF,30,1992,17.4,1,10,4,40.0,0.57,0.23,0.1,0.25,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Abdukodir Khusanov,UZB,DF,19,2004,9.0,0,5,2,40.0,0.56,0.22,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Adrien Thomasson,FRA,MF,29,1993,13.3,1,31,6,19.4,2.34,0.45,0.03,0.17,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Andy Diouf,FRA,MF,20,2003,14.6,1,28,8,28.6,1.92,0.55,0.04,0.13,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Angelo Fulgini,NCL,MF,26,1996,15.3,1,46,10,21.7,3.01,0.65,0.02,0.1,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Ayanda Sishuba,BEL,MF,18,2005,0.7,0,12,2,16.7,17.42,2.9,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Brice Samba,FRA,GK,29,1994,33.0,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,David Costa,POR,MF,22,2001,16.6,4,30,14,46.7,1.81,0.84,0.13,0.29,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Deiver Machado,COL,MF,29,1993,12.5,4,16,8,50.0,1.28,0.64,0.25,0.5,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Elye Wahi,CIV,FW,20,2003,18.8,9,60,32,53.3,3.19,1.7,0.13,0.25,1,1,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Facundo Medina,ARG,DF,24,1999,30.2,1,21,12,57.1,0.7,0.4,0.05,0.08,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Faitout Maouassa,FRA,MF,25,1998,0.8,0,3,2,66.7,3.55,2.37,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Florian Sotoca,FRA,"MF,FW",32,1990,28.9,7,69,22,31.9,2.39,0.76,0.04,0.14,4,4,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Jean-Louis Leca,FRA,GK,37,1985,1.0,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Jhoanner Chávez,ECU,"MF,DF",21,2002,5.3,0,3,0,0.0,0.56,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Jonathan Gradit,FRA,DF,30,1992,23.5,1,4,1,25.0,0.17,0.04,0.25,1.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Julien Le Cardinal,FRA,DF,25,1997,0.6,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Kevin Danso,AUT,DF,24,1998,29.5,1,21,5,23.8,0.71,0.17,0.05,0.2,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Massadio Haïdara,MLI,"DF,MF",30,1992,8.2,0,3,0,0.0,0.36,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Morgan Guilavogui,GUI,FW,25,1998,6.3,2,21,8,38.1,3.34,1.27,0.1,0.25,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Nampalys Mendy,SEN,MF,31,1992,11.7,0,7,2,28.6,0.6,0.17,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Neil El Aynaoui,MAR,MF,22,2001,17.4,1,22,8,36.4,1.26,0.46,0.05,0.13,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Oscar Cortés,COL,MF,19,2003,0.5,1,1,1,100.0,2.05,2.05,1.0,1.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
