league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2324,Clermont Foot,Yoël Armougom,FRA,"MF,DF",25,1998,2.6,1,0,0,1,3,0,14,1,4,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Abdoulaye Touré,GUI,MF,29,1994,25.4,4,0,0,27,32,0,4,21,28,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Alois Confais,FRA,"DF,MF",26,1996,0.1,0,0,0,0,0,0,1,0,2,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,André Ayew,GHA,"FW,MF",33,1989,12.3,2,1,0,15,26,4,4,2,10,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Antoine Joujou,FRA,"MF,FW",20,2003,8.7,1,0,0,17,10,0,18,6,12,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Arouna Sangante,SEN,DF,21,2002,29.9,8,0,0,54,37,0,14,63,32,,,1,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Arthur Desmas,FRA,GK,29,1994,33.0,2,0,0,0,9,0,0,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Christopher Opéri,CIV,"DF,MF",26,1997,27.2,6,0,0,20,18,0,189,34,36,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Daler Kuzyaev,RUS,MF,30,1993,23.2,1,0,0,28,26,4,26,19,20,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Elysée Logbo,FRA,FW,19,2004,2.8,0,0,0,12,0,1,1,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
