league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25,1998,30,26,2325,25.8,3,8,11,2,1,1,4,0,0.12,0.31,0.43,0.08,0.39,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,28,17,1586,17.6,7,2,9,7,0,0,4,1,0.4,0.11,0.51,0.4,0.51,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.07,0.0,0.07,0.07,0.07,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27,1996,15,5,527,5.9,0,1,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",29,1994,17,7,499,5.5,0,2,2,0,0,0,1,0,0.0,0.36,0.36,0.0,0.36,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,"FW,MF",24,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,22,2002,19,11,983,10.9,2,1,3,2,0,0,4,0,0.18,0.09,0.27,0.18,0.27,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,25,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993,35,31,2797,31.1,4,2,6,4,0,0,4,0,0.13,0.06,0.19,0.13,0.19,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23,2001,35,35,3039,33.8,2,0,2,2,0,0,2,1,0.06,0.0,0.06,0.06,0.06,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,22,2001,26,20,1617,18.0,3,0,3,3,0,0,4,0,0.17,0.0,0.17,0.17,0.17,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",21,2003,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,26,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,"MF,DF",24,1999,26,20,1726,19.2,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Donyell Malen,NED,MF,25,1999,14,2,305,3.4,3,0,3,3,0,0,0,0,0.89,0.0,0.89,0.89,0.89,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"FW,MF",27,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,37,37,3194,35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,26,1997,34,33,2936,32.6,2,0,2,2,0,0,1,0,0.06,0.0,0.06,0.06,0.06,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22,2002,29,10,1139,12.7,1,2,3,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,MF,23,2001,29,19,1623,18.0,1,3,4,1,0,0,4,1,0.06,0.17,0.22,0.06,0.22,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,MF,22,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,MF,29,1994,34,27,2223,24.7,1,4,5,1,0,0,7,0,0.04,0.16,0.2,0.04,0.2,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,0.99,0.0,0.99,0.99,0.99,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,18,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,MF,26,1997,24,14,1139,12.7,1,2,3,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993,32,28,2351,26.1,0,4,4,0,0,0,4,0,0.0,0.15,0.15,0.0,0.15,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,28,1996,13,9,743,8.3,3,1,4,3,0,2,2,0,0.36,0.12,0.48,0.36,0.48,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,"FW,MF",26,1997,10,4,444,4.9,2,2,4,1,1,1,0,0,0.41,0.41,0.81,0.2,0.61,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26,1997,27,24,2070,23.0,1,1,2,1,0,0,7,0,0.04,0.04,0.09,0.04,0.09,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,MF,22,2002,37,37,3114,34.6,8,10,18,8,0,0,10,0,0.23,0.29,0.52,0.23,0.52,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28,1995,38,31,2598,28.9,16,8,24,14,2,2,2,0,0.55,0.28,0.83,0.48,0.76,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27,1997,24,23,2020,22.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34,1990,4,1,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,30,1993,20,3,581,6.5,3,1,4,3,0,0,3,0,0.46,0.15,0.62,0.46,0.62,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31,1993,14,12,1120,12.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27,1997,36,35,3026,33.6,3,7,10,3,0,1,4,0,0.09,0.21,0.3,0.09,0.3,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33,1991,25,19,1590,17.7,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,20,2003,20,8,755,8.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,MF,24,2000,37,36,3203,35.6,11,5,16,11,0,0,9,0,0.31,0.14,0.45,0.31,0.45,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Ben Winterburn,ENG,MF,19,2004,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"MF,FW",22,2002,32,21,2005,22.3,7,4,11,7,0,0,3,0,0.31,0.18,0.49,0.31,0.49,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,CAN,FW,20,2003,16,0,119,1.3,1,0,1,1,0,0,1,0,0.76,0.0,0.76,0.76,0.76,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,MF,27,1997,29,9,960,10.7,2,0,2,2,0,0,3,0,0.19,0.0,0.19,0.19,0.19,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19,2005,32,26,2427,27.0,3,2,5,3,0,0,10,0,0.11,0.07,0.19,0.11,0.19,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,FW,27,1997,17,2,345,3.8,2,1,3,2,0,0,2,0,0.52,0.26,0.78,0.52,0.78,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,24,1999,31,28,2319,25.8,10,1,11,10,0,1,1,1,0.39,0.04,0.43,0.39,0.43,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,21,2002,36,35,3109,34.5,0,1,1,0,0,0,4,1,0.0,0.03,0.03,0.0,0.03,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,James Hill,ENG,DF,22,2002,10,6,448,5.0,0,1,1,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,22,2001,12,7,497,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Julio Soler,ARG,DF,19,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,MF,25,1999,34,29,2340,26.0,12,6,18,6,6,6,8,0,0.46,0.23,0.69,0.23,0.46,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29,1994,31,31,2790,31.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27,1997,36,32,2978,33.1,1,3,4,1,0,0,8,1,0.03,0.09,0.12,0.03,0.12,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,MF,25,1999,12,1,236,2.6,1,1,2,1,0,0,0,0,0.38,0.38,0.76,0.38,0.76,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27,1997,17,13,1106,12.3,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,MF,25,1999,29,20,1939,21.5,3,5,8,3,0,0,6,0,0.14,0.23,0.37,0.14,0.37,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,24,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,20,2003,38,38,3336,37.1,2,5,7,2,0,0,4,0,0.05,0.13,0.19,0.05,0.19,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28,1996,10,1,184,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29,1995,29,27,2117,23.5,2,3,5,2,0,0,9,0,0.09,0.13,0.21,0.09,0.21,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25,1999,28,21,1965,21.8,0,3,3,0,0,0,7,0,0.0,0.14,0.14,0.0,0.14,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,MF,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,34,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,"MF,FW",24,1999,38,38,3414,37.9,20,7,27,15,5,6,3,0,0.53,0.18,0.71,0.4,0.58,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30,1994,34,34,2819,31.3,5,4,9,5,0,0,8,1,0.16,0.13,0.29,0.16,0.29,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,MF,23,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993,22,21,1913,21.3,2,0,2,2,0,0,2,0,0.09,0.0,0.09,0.09,0.09,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",21,2002,19,3,455,5.1,2,1,3,2,0,0,1,0,0.4,0.2,0.59,0.4,0.59,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Gustavo Nunes,BRA,MF,18,2005,3,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Hákon Valdimarsson,ISL,GK,22,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Igor Thiago,BRA,FW,23,2001,8,1,175,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,MF",23,2001,38,36,3093,34.4,1,3,4,1,0,0,7,0,0.03,0.09,0.12,0.03,0.12,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Kevin Schade,GER,"MF,FW",22,2001,38,26,2293,25.5,11,2,13,11,0,0,3,0,0.43,0.08,0.51,0.43,0.51,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Kim Jisoo,KOR,DF,19,2004,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26,1998,24,17,1438,16.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999,19,11,1101,12.2,0,2,2,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993,37,37,3275,36.4,0,2,2,0,0,0,1,0,0.0,0.05,0.05,0.0,0.05,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28,1996,24,8,862,9.6,0,2,2,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004,12,6,528,5.9,0,1,1,0,0,0,2,0,0.0,0.17,0.17,0.0,0.17,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,MF,24,2000,38,34,2911,32.3,2,10,12,2,0,0,2,0,0.06,0.31,0.37,0.06,0.37,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23,2001,38,38,3420,38.0,2,3,5,2,0,0,5,0,0.05,0.08,0.13,0.05,0.13,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Rico Henry,JAM,"DF,MF",27,1997,5,0,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,22,2001,31,29,2586,28.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26,1998,32,27,2254,25.0,1,3,4,1,0,0,3,0,0.04,0.12,0.16,0.04,0.16,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20,2004,31,15,1450,16.1,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,27,1996,35,34,2919,32.4,19,4,23,19,0,0,5,0,0.59,0.12,0.71,0.59,0.71,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,MF,18,2006,10,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29,1995,14,11,887,9.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21,2002,36,36,3240,36.0,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004,21,8,687,7.6,1,4,5,1,0,0,0,0,0.13,0.52,0.66,0.13,0.66,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20,2004,34,31,2661,29.6,3,1,4,3,0,0,8,1,0.1,0.03,0.14,0.1,0.14,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,33,1990,30,24,2115,23.5,10,4,14,9,1,1,5,0,0.43,0.17,0.6,0.38,0.55,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
ENG-Premier League,2425,Brighton,Diego Gómez,PAR,MF,21,2003,16,4,516,5.7,1,0,1,1,0,0,0,0,0.17,0.0,0.17,0.17,0.17,ENG,2024-2025,standard,2026-08-06T22:37:36.946061
