league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2526,Fiorentina,Eddy Kouadio,CIV,DF,19,2006,3,0,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Edin Džeko,BIH,FW,39,1986,11,2,244,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Fabiano Parisi,ITA,"MF,FW",24,2000,23,18,1520,16.9,1,1,2,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Giovanni Fabbian,ITA,MF,22,2003,15,4,468,5.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Hans Nicolussi Caviglia,ITA,MF,25,2000,11,7,585,6.5,0,1,1,0,0,0,4,0,0.0,0.15,0.15,0.0,0.15,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Jack Harrison,ENG,"FW,MF",28,1996,15,10,981,10.9,1,3,4,1,0,0,1,0,0.09,0.28,0.37,0.09,0.37,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Jacopo Fazzini,ITA,"MF,FW",22,2003,20,5,584,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Luca Lezzerini,ITA,GK,30,1995,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Luca Ranieri,ITA,DF,26,1999,34,29,2458,27.3,1,0,1,1,0,0,8,1,0.04,0.0,0.04,0.04,0.04,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Luís Balbo,VEN,DF,19,2006,6,1,212,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Manor Solomon,ISR,"FW,MF",26,1999,16,9,890,9.9,2,1,3,2,0,0,1,0,0.2,0.1,0.3,0.2,0.3,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Marco Brescianini,ITA,MF,25,2000,17,10,862,9.6,1,1,2,1,0,0,1,0,0.1,0.1,0.21,0.1,0.21,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
