league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2425,Napoli,Khvicha Kvaratskhelia,GEO,"FW,MF",23,2001,13.1,5,49,17,34.7,3.74,1.3,0.08,0.24,1,1,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Leonardo Spinazzola,ITA,"DF,MF",31,1993,16.9,1,13,4,30.8,0.77,0.24,0.08,0.25,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Mathías Olivera,URU,DF,26,1997,26.3,0,16,2,12.5,0.61,0.08,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Matteo Politano,ITA,"FW,MF",30,1993,31.2,3,56,14,25.0,1.8,0.45,0.05,0.21,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Michael Folorunsho,ITA,"FW,MF",26,1998,0.4,0,1,0,0.0,2.57,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Noah Okafor,SUI,"FW,MF",24,2000,0.4,0,1,0,0.0,2.25,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Pasquale Mazzocchi,ITA,"MF,DF",29,1995,7.8,0,3,1,33.3,0.38,0.13,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Philip Billing,DEN,MF,28,1996,2.2,1,6,3,50.0,2.74,1.37,0.17,0.33,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Rafa Marín,ESP,DF,22,2002,1.6,0,2,1,50.0,1.27,0.63,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Romelu Lukaku,BEL,FW,31,1993,31.6,14,64,24,37.5,2.03,0.76,0.17,0.46,3,4,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Scott McTominay,SCO,MF,27,1996,32.6,12,76,33,43.4,2.33,1.01,0.16,0.36,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Simone Scuffet,ITA,GK,28,1996,1.0,0,0,0,,0.0,0.0,,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Stanislav Lobotka,SVK,MF,29,1994,29.3,0,7,0,0.0,0.24,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Walid Cheddira,MAR,FW,26,1998,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Adrian Benedyczak,POL,MF,23,2000,2.4,0,3,0,0.0,1.26,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Adrian Bernabe,ESP,MF,23,2001,16.1,1,27,5,18.5,1.67,0.31,0.04,0.2,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Alessandro Circati,AUS,DF,20,2003,6.0,0,2,0,0.0,0.33,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Alessandro Vogliacco,ITA,DF,25,1998,8.6,0,1,1,100.0,0.12,0.12,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Ange-Yoan Bonny,CIV,FW,20,2003,28.1,6,64,22,34.4,2.28,0.78,0.06,0.18,2,2,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Antoine Hainaut,FRA,"DF,MF",22,2002,13.4,2,6,3,50.0,0.45,0.22,0.33,0.67,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
