country,tournament,tournament_id,season_id,team_name,team_id,position,matches,wins,draws,losses,scores_for,scores_against,points,category,_league_id,_season,_source,_scraped_at
Germany,Bundesliga,35,77333,1. FC Heidenheim,5885,16,17,4,5,8,23,37,17,Home,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,FC St. Pauli,2526,17,17,4,5,8,17,31,17,Home,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,VfL Wolfsburg,2524,18,17,2,4,11,21,32,10,Home,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,FC Bayern München,2672,1,17,14,3,0,54,17,45,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,Borussia Dortmund,2673,2,17,9,5,3,30,18,32,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,TSG Hoffenheim,2569,3,17,8,5,4,30,31,29,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,Bayer 04 Leverkusen,2681,4,17,8,4,5,30,28,28,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,RB Leipzig,36360,5,17,8,3,6,26,27,27,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,VfB Stuttgart,2677,6,17,6,5,6,41,33,23,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,1. FSV Mainz 05,2556,7,17,6,5,6,23,28,23,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,Eintracht Frankfurt,2674,8,17,4,7,6,32,38,19,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,VfL Wolfsburg,2524,9,17,5,4,8,24,37,19,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,FC Augsburg,2600,10,17,5,2,10,20,33,17,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,1. FC Union Berlin,2547,11,17,5,2,10,18,32,17,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,SC Freiburg,2538,12,17,4,3,10,18,35,15,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,Borussia M'gladbach,2527,13,17,3,5,9,18,29,14,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,Hamburger SV,2676,14,17,3,5,9,15,32,14,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,SV Werder Bremen,2534,15,17,3,4,10,18,29,13,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,1. FC Köln,2671,16,17,2,7,8,19,33,13,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,1. FC Heidenheim,5885,17,17,2,3,12,18,35,9,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
Germany,Bundesliga,35,77333,FC St. Pauli,2526,18,17,2,3,12,12,29,9,Away,GER,2025-2026,datafc_sofascore,2026-08-09T07:54:07.602642
