league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2526,Cremonese,Federico Ceccherini,ITA,DF,33,1992,5.3,1,1,0,10,9,0,3,7,2,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Filippo Terracciano,ITA,DF,22,2003,33.5,6,0,0,18,26,0,27,56,23,,,2,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Francesco Folino,ITA,DF,23,2002,8.0,1,0,0,11,9,0,1,2,4,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Franco Vázquez,ARG,"FW,MF",36,1989,5.8,1,0,0,9,16,0,19,4,12,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Giuseppe Pezzella,ITA,"MF,DF",27,1997,28.7,8,1,0,49,32,8,128,11,32,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Jamie Vardy,ENG,FW,38,1987,23.4,5,0,0,19,21,23,14,3,10,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Jari Vandeputte,BEL,MF,29,1996,21.6,3,0,0,34,25,1,162,18,21,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Jeremy Sarmiento,ECU,MF,23,2002,1.6,0,0,0,0,1,0,2,2,2,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Manuel De Luca,ITA,FW,27,1998,0.2,0,0,0,1,1,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Marco Silvestri,ITA,GK,34,1991,4.0,0,0,0,0,0,0,0,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Martín Payero,ARG,MF,26,1998,16.2,8,0,0,37,34,2,34,10,9,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Matteo Bianchetti,ITA,DF,32,1993,24.4,4,0,0,28,15,0,6,19,30,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Michele Collocolo,ITA,MF,25,1999,4.0,1,0,0,2,2,0,5,1,3,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Mikayil Ngor Faye,SEN,"MF,DF",21,2004,2.8,1,0,0,2,4,0,6,5,6,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Milan Đurić,BIH,FW,35,1990,4.3,1,1,0,4,8,2,2,0,0,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Morten Thorsby,NOR,MF,29,1996,7.1,2,0,0,10,6,2,0,3,6,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Romano Floriani,ITA,MF,22,2003,13.0,2,0,0,21,5,2,29,6,14,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
ITA-Serie A,2526,Cremonese,Sebastiano Luperto,ITA,DF,28,1996,14.5,1,0,0,9,12,1,10,12,9,,,0,ITA,2025-2026,misc,2026-08-08T22:21:05.148839
