league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
GER-Bundesliga,2425,Freiburg,Christian Günter,GER,DF,31,1993,25.7,0,0,0,14,4,5,123,7,22,,,1,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Eren Dinkçi,GER,MF,22,2001,13.3,1,0,0,9,6,1,16,7,14,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Florent Muslija,KVX,"FW,MF",26,1998,1.9,0,0,0,0,2,0,14,2,4,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Florian Müller,GER,GK,26,1997,8.4,0,0,0,0,1,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Ifechukwu Ogbus,SUI,DF,18,2005,0.2,0,0,0,1,0,0,0,1,1,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Jan-Niklas Beste,GER,"DF,MF",25,1999,2.4,0,0,0,3,6,1,20,0,3,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Johan Manzambi,SUI,MF,18,2005,3.7,2,0,0,7,7,0,5,4,3,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Jordy Makengo,FRA,DF,22,2001,8.3,1,0,0,5,6,2,25,6,9,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Junior Adamu,AUT,FW,23,2001,17.2,5,1,0,37,22,17,5,11,3,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Kiliann Sildillia,FRA,DF,22,2002,8.9,2,0,0,10,9,1,19,10,9,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Lucas Höler,GER,"FW,MF",30,1994,20.7,3,0,0,31,30,8,14,6,24,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Lukas Kübler,GER,DF,31,1992,20.5,5,0,0,25,23,1,30,48,20,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Matthias Ginter,GER,DF,30,1994,28.5,5,0,0,13,26,1,12,17,17,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Max Rosenfelder,GER,DF,21,2003,13.9,2,0,0,8,14,1,9,8,17,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Maximilian Eggestein,GER,MF,27,1996,31.6,4,0,0,22,24,1,9,39,31,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Maximilian Philipp,GER,"FW,MF",30,1994,0.2,0,0,0,0,0,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Merlin Röhl,GER,MF,22,2002,10.7,2,0,0,22,19,0,12,4,9,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Michael Gregoritsch,AUT,FW,30,1994,7.1,2,0,0,7,5,4,1,1,2,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Nicolas Höfler,GER,MF,34,1990,8.8,3,0,0,12,5,0,1,14,22,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Noah Atubolu,GER,GK,22,2002,25.6,2,0,0,0,0,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Noah Weißhaupt,GER,"FW,MF",22,2001,0.9,0,0,0,1,6,0,8,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Patrick Osterhage,GER,MF,24,2000,25.2,6,1,1,25,22,5,21,22,29,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Philipp Lienhart,AUT,DF,28,1996,30.8,5,0,0,22,19,3,8,31,13,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Ritsu Doan,JPN,MF,26,1998,31.8,2,0,0,27,56,8,80,14,43,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Roland Sallai,HUN,"DF,FW",27,1997,0.5,0,0,0,0,1,0,4,1,1,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Freiburg,Vincenzo Grifo,ITA,MF,31,1993,27.0,2,0,0,15,12,2,157,8,21,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Alassane Pléa,FRA,MF,31,1993,21.1,3,0,0,18,33,8,44,1,4,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Fabio Chiarodia,ITA,DF,19,2005,4.2,0,0,0,7,0,0,0,9,4,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Florian Neuhaus,GER,MF,27,1997,4.2,1,0,0,4,7,0,8,6,3,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Franck Honorat,FRA,MF,27,1996,16.0,0,0,0,7,5,8,123,5,6,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Grant Ranos,ARM,FW,21,2003,0.2,1,0,0,1,0,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Joe Scally,USA,DF,21,2002,28.6,6,0,0,23,47,1,49,18,32,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Jonas Omlin,SUI,GK,30,1994,10.9,0,1,0,1,1,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Julian Weigl,GER,MF,28,1995,32.0,8,0,0,23,24,0,10,51,26,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Kevin Stöger,AUT,MF,30,1993,17.2,3,0,0,22,40,1,114,14,20,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Ko Itakura,JPN,DF,27,1997,31.0,5,0,0,28,12,1,8,28,29,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Luca Netz,GER,DF,21,2003,10.8,2,0,0,8,6,1,16,10,14,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Lukas Ullrich,GER,DF,20,2004,21.1,4,0,0,22,17,0,47,20,15,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Marvin Friedrich,GER,DF,28,1995,11.0,0,0,0,5,4,0,0,6,9,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Moritz Nicolas,GER,GK,26,1997,18.2,0,0,0,0,0,0,0,1,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Nathan N'Goumou,CMR,MF,24,2000,9.2,0,0,0,7,12,7,21,4,11,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Nico Elvedi,SUI,DF,27,1996,23.7,1,0,0,9,15,1,1,27,24,,,1,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Noah Pesch,CRO,FW,19,2005,0.1,0,0,0,1,0,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Philipp Sander,GER,MF,26,1998,15.6,2,0,0,16,7,0,22,22,17,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
