league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2425,Mallorca,David López,ESP,DF,21,2003,2,169,85,4.9,1.9,2,85,1,0,,15,0.5,0,1,-1,-0.53,-0.31,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Dominik Greif,SVK,GK,27,1997,31,2790,90,81.6,31.0,31,90,31,0,,7,1.32,30,34,-4,-0.13,0.59,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Iván Cuéllar,ESP,GK,40,1984,0,,,,,0,,0,0,,28,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Jan Salas,ESP,MF,18,2005,4,43,11,1.3,0.5,0,,0,4,11,11,0.5,0,2,-2,-4.19,-4.0,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Javier Llabrés,ESP,MF,21,2002,1,57,57,1.7,0.6,1,57,0,0,,8,0.0,0,1,-1,-1.58,-1.36,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Johan Mojica,COL,DF,31,1992,36,2755,77,80.6,30.6,30,88,26,6,18,1,1.31,30,38,-8,-0.26,-0.13,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Leo Román,ESP,GK,24,2000,7,630,90,18.4,7.0,7,90,7,0,,31,1.0,5,10,-5,-0.71,-0.59,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Manu Morlanes,ESP,MF,25,1999,23,1338,58,39.1,14.9,15,80,5,8,17,2,1.3,15,15,0,0.0,0.39,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Marc Domenech,ESP,"FW,MF",18,2006,10,303,30,8.9,3.4,3,59,0,7,18,12,0.6,2,2,0,0.0,0.26,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Martin Valjent,SVK,DF,28,1995,31,2763,89,80.8,30.7,31,89,29,0,,6,1.32,30,38,-8,-0.26,-0.12,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Mateu Morey,ESP,DF,24,2000,16,741,46,21.7,8.2,8,80,3,8,12,17,1.18,6,14,-8,-0.97,-0.94,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Omar Mascarell,EQG,MF,31,1993,32,1992,62,58.2,22.1,21,83,12,11,22,5,1.47,22,29,-7,-0.32,-0.19,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Pablo Maffeo,ESP,DF,27,1997,30,2368,79,69.2,26.3,28,84,19,2,14,2,1.27,23,28,-5,-0.19,0.15,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Pere Joan,ESP,GK,22,2002,0,,,,,0,,0,0,,3,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Roberto Navarro,ESP,MF,22,2002,23,1278,56,37.4,14.2,15,71,0,8,27,2,1.48,13,13,0,0.0,0.38,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Samu Costa,POR,MF,23,2000,32,2649,83,77.5,29.4,31,85,23,1,26,0,1.19,25,37,-12,-0.41,-0.76,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Sebastian Wade,ESP,DF,21,2003,0,,,,,0,,0,0,,1,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Sergi Darder,ESP,MF,30,1993,38,2744,72,80.2,30.5,34,78,9,4,19,0,1.26,26,33,-7,-0.23,0.04,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Siebe Van Der Heyden,BEL,DF,26,1998,2,97,49,2.8,1.1,1,90,1,1,7,13,1.5,0,2,-2,-1.86,-1.67,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Takuma Asano,JPN,"MF,FW",29,1994,21,1054,50,30.8,11.7,13,67,0,8,23,2,1.14,14,13,1,0.09,0.47,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Toni Lato,ESP,DF,26,1997,14,621,44,18.2,6.9,7,79,2,7,10,16,1.29,6,5,1,0.14,0.47,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Valery Fernández,ESP,MF,24,1999,18,309,17,9.0,3.4,1,66,0,17,14,12,1.56,11,5,6,1.75,2.18,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Vedat Muriqi,KVX,FW,30,1994,29,2058,71,60.2,22.9,24,80,10,5,28,0,1.1,20,30,-10,-0.44,-0.5,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Abel Bretones,ESP,"DF,MF",23,2000,35,2074,59,60.6,23.0,20,86,13,15,24,3,1.46,30,35,-5,-0.22,-0.28,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Aimar Oroz,ESP,MF,22,2001,37,2966,80,86.7,33.0,35,83,16,2,29,0,1.41,47,41,6,0.18,2.16,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Aitor Fernández,ESP,GK,33,1991,1,90,90,2.6,1.0,1,90,1,0,,37,1.0,0,0,0,0.0,0.11,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Ante Budimir,CRO,FW,33,1991,38,2952,78,86.3,32.8,34,84,15,4,24,0,1.37,44,41,3,0.09,1.44,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Asier Osambela,ESP,MF,20,2004,0,,,,,0,,0,0,,4,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Bryan Zaragoza,ESP,"MF,FW",22,2001,27,1836,68,53.7,20.4,22,77,2,5,28,1,1.48,29,27,2,0.1,0.44,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Carlos Lumbreras,ESP,FW,19,2005,0,,,,,0,,0,0,,1,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Catena,ESP,DF,29,1994,35,3074,88,89.9,34.2,35,88,32,0,,1,1.46,44,45,-1,-0.03,0.75,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Dimitrios Stamatakis,GRE,GK,21,2003,0,,,,,0,,0,0,,8,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
