league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2324,Cagliari,Alberto Dossena,ITA,DF,24,1998,35,2977,85,87.0,33.1,33,88,30,2,34,1,1.0,36,51,-15,-0.45,1.78,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Alessandro Deiola,ITA,MF,27,1995,27,1608,60,47.0,17.9,19,79,10,8,14,10,1.04,15,29,-14,-0.78,-0.19,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Alessandro Di Pardo,ITA,"MF,DF",24,1999,15,359,24,10.5,4.0,2,61,0,13,18,18,0.73,2,10,-8,-2.01,-1.48,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Alessandro Vinciguerra,ITA,FW,17,2005,0,,,,,0,,0,0,,2,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Andrea Petagna,ITA,FW,28,1995,18,995,55,29.1,11.1,13,72,4,5,12,10,0.72,12,20,-8,-0.72,-0.06,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Antoine Makoumbou,CGO,MF,25,1998,32,2702,84,79.0,30.0,32,84,25,0,,1,0.91,34,54,-20,-0.67,0.09,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Boris Radunović,SRB,GK,27,1996,7,630,90,18.4,7.0,7,90,7,0,,31,0.29,2,12,-10,-1.43,-0.91,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Christos Kourfalidis,GRE,MF,20,2002,0,,,,,0,,0,0,,2,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Edoardo Goldaniga,ITA,DF,29,1993,13,1011,78,29.6,11.2,12,83,7,1,19,8,1.08,14,17,-3,-0.27,0.59,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Eldor Shomurodov,UZB,"MF,FW",28,1995,22,936,43,27.4,10.4,10,67,0,12,22,5,1.0,12,23,-11,-1.06,-0.51,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Elio Capradossi,UGA,DF,27,1996,0,,,,,0,,0,0,,2,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Gabriele Zappa,ITA,"DF,MF",23,1999,38,2561,67,74.9,28.5,25,85,18,13,34,0,0.95,38,53,-15,-0.53,0.63,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Gaetano Oristanio,ITA,"FW,MF",20,2002,25,1104,44,32.3,12.3,11,67,1,14,26,6,0.88,12,19,-7,-0.57,0.17,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Gastón Pereiro,URU,"FW,MF",28,1995,0,,,,,0,,0,0,,13,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Gianluca Gaetano,ITA,"MF,FW",23,2000,11,745,68,21.8,8.3,10,72,3,1,29,3,1.45,9,9,0,0.0,0.87,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Gianluca Lapadula,PER,FW,33,1990,23,1205,52,35.2,13.4,14,73,6,9,20,5,0.83,17,24,-7,-0.52,0.25,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Ibrahim Sulemana,GHA,MF,20,2003,21,1339,64,39.2,14.9,16,73,8,5,33,12,0.86,16,26,-10,-0.67,0.02,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Jacopo Desogus,ITA,FW,20,2002,0,,,,,0,,0,0,,7,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Jakub Jankto,CZE,MF,27,1996,18,872,48,25.5,9.7,13,61,0,5,16,11,1.22,11,18,-7,-0.72,-0.05,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Kingstone Mutandwa,ZAM,FW,20,2003,5,39,8,1.1,0.4,0,,0,5,8,9,0.6,1,4,-3,-6.92,-6.31,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Leonardo Pavoletti,ITA,FW,34,1988,19,628,33,18.4,7.0,5,72,2,14,19,9,0.79,9,11,-2,-0.29,0.49,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Marco Mancosu,ITA,"MF,FW",34,1988,6,156,26,4.6,1.7,3,51,0,3,1,8,1.83,2,4,-2,-1.15,-0.49,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Mateusz Wieteska,POL,DF,26,1997,19,965,51,28.2,10.7,10,84,7,9,14,16,0.84,8,20,-12,-1.12,-0.61,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Matteo Prati,ITA,MF,19,2003,26,1972,76,57.7,21.9,19,87,14,7,46,12,0.88,25,44,-19,-0.87,-0.43,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Nahitan Nández,URU,"MF,DF",27,1995,33,2341,71,68.5,26.0,29,78,12,4,19,0,0.91,21,47,-26,-1.0,-1.0,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Nicolas Viola,ITA,"MF,FW",33,1989,26,1207,46,35.3,13.4,11,73,3,15,27,10,1.12,25,18,7,0.52,1.86,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Pantelis Hatzidiakos,GRE,DF,26,1997,13,856,66,25.0,9.5,13,66,2,0,,17,0.54,6,19,-13,-1.37,-0.91,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Paulo Azzi,BRA,"MF,DF",29,1994,25,950,38,27.8,10.6,9,73,3,16,18,13,0.96,9,19,-10,-0.95,-0.36,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Simone Aresti,ITA,GK,37,1986,1,1,1,0.0,0.0,0,,0,1,1,33,0.0,0,1,-1,-90.0,-89.34,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Simone Scuffet,ITA,GK,27,1996,31,2789,90,81.5,31.0,31,90,30,0,,7,1.1,40,55,-15,-0.48,1.08,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Tommaso Augello,ITA,"DF,MF",28,1994,32,2418,76,70.7,26.9,28,82,12,4,30,4,1.06,32,46,-14,-0.52,0.56,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Velizar-Ilia Svetozarov Iliev,BUL,GK,18,2005,0,,,,,0,,0,0,,3,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Yerry Mina,COL,DF,28,1994,14,1215,87,35.5,13.5,14,87,11,0,,1,1.29,21,26,-5,-0.37,0.49,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Zito Luvumbo,ANG,"MF,FW",21,2002,30,1946,65,56.9,21.6,19,79,10,11,40,1,0.97,23,34,-11,-0.51,0.41,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Empoli,Alberto Cerri,ITA,FW,27,1996,12,545,45,15.9,6.1,10,52,0,2,13,3,1.58,6,6,0,0.0,0.78,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Empoli,Alberto Grassi,ITA,MF,28,1995,27,1807,67,52.8,20.1,22,77,9,5,22,5,1.0,16,28,-12,-0.6,0.13,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Empoli,Andrea Sodero,ITA,MF,18,2004,1,5,5,0.1,0.1,0,,0,1,5,0,0.0,0,0,0,0.0,0.66,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
