league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2526,Osasuna,Jon Moncayola,ESP,MF,27,1998,33.5,0,23,5,21.7,0.69,0.15,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Jorge Herrando,ESP,DF,24,2001,17.8,0,3,0,0.0,0.17,0.0,0.0,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Juan Cruz Armada,ESP,DF,33,1992,7.2,0,1,0,0.0,0.14,0.0,0.0,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Kike Barja,ESP,MF,28,1997,5.0,2,8,4,50.0,1.61,0.81,0.25,0.5,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Lucas Torró,ESP,MF,31,1994,25.5,0,29,9,31.0,1.14,0.35,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Moi Gómez,ESP,MF,31,1994,13.3,0,11,2,18.2,0.82,0.15,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Raúl,ESP,FW,24,2000,11.6,7,39,23,59.0,3.37,1.99,0.18,0.3,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Raúl Moro,ESP,MF,22,2002,6.9,0,6,0,0.0,0.86,0.0,0.0,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Rubén García,ESP,"MF,FW",32,1993,24.8,2,31,10,32.3,1.25,0.4,0.06,0.2,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Sergio Herrera,ESP,GK,32,1993,36.5,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Sheraldo Becker,SUR,"FW,MF",30,1995,1.8,0,3,0,0.0,1.71,0.0,0.0,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Valentin Rosier,FRA,"DF,MF",28,1996,28.3,1,19,3,15.8,0.67,0.11,0.05,0.33,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Víctor Muñoz,ESP,"MF,FW",22,2003,29.5,6,81,31,38.3,2.74,1.05,0.07,0.19,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Aarón Escandell,ESP,GK,29,1995,36.0,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Alberto Reina,ESP,MF,27,1997,27.4,4,24,11,45.8,0.88,0.4,0.17,0.36,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Borja Sánchez Laborde,ESP,MF,29,1996,0.2,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Dani Calvo,ESP,DF,31,1994,17.9,0,3,0,0.0,0.17,0.0,0.0,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,David Carmo,ANG,DF,26,1999,19.8,1,10,3,30.0,0.5,0.15,0.1,0.33,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,David Costas,ESP,DF,30,1995,23.0,1,5,1,20.0,0.22,0.04,0.2,1.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Eric Bailly,CIV,DF,31,1994,13.7,1,6,1,16.7,0.44,0.07,0.17,1.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Federico Viñas,URU,"FW,MF",27,1998,27.1,9,57,21,36.8,2.1,0.77,0.12,0.33,2,2,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Haissem Hassan,EGY,"MF,FW",23,2002,21.6,0,34,8,23.5,1.58,0.37,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Horaţiu Moldovan,ROU,GK,27,1998,2.0,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Ilyas Chaira,MAR,"MF,FW",24,2001,27.2,6,81,35,43.2,2.98,1.29,0.07,0.17,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Javi López,ESP,DF,23,2002,19.0,0,7,1,14.3,0.37,0.05,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Josip Brekalo,CRO,"MF,FW",27,1998,5.4,0,9,3,33.3,1.67,0.56,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Kwasi Sibo,GHA,MF,27,1998,18.7,0,9,2,22.2,0.48,0.11,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Leander Dendoncker,BEL,MF,30,1995,14.8,1,9,4,44.4,0.61,0.27,0.11,0.25,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Lucas Ahijado,ESP,DF,30,1995,12.2,0,10,2,20.0,0.82,0.16,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Luka Ilić,SRB,"MF,FW",26,1999,8.2,1,9,5,55.6,1.09,0.61,0.11,0.2,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Marco Esteban,ESP,DF,19,2006,0.5,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Nacho Vidal,ESP,DF,30,1995,25.1,0,15,3,20.0,0.6,0.12,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Nicolas Fonseca,URU,MF,26,1998,11.3,0,8,1,12.5,0.71,0.09,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Oier Luengo,ESP,DF,27,1997,2.5,0,1,0,0.0,0.4,0.0,0.0,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Omar Falah,ESP,DF,21,2003,0.2,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
