league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
GER-Bundesliga,2425,Wolfsburg,Joakim Mæhle,DEN,"DF,MF",27,1997,24.3,3,18,7,38.9,0.74,0.29,0.17,0.43,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Jonas Wind,DEN,"FW,MF",25,1999,21.8,9,40,13,32.5,1.83,0.6,0.2,0.62,1,2,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Kamil Grabara,POL,GK,25,1999,28.7,0,0,0,,0.0,0.0,,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Kevin Behrens,GER,FW,33,1991,1.9,1,9,3,33.3,4.76,1.59,0.11,0.33,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Kevin Paredes,USA,MF,21,2003,1.4,0,4,0,0.0,2.93,0.0,0.0,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Kilian Fischer,GER,DF,23,2000,25.5,1,6,1,16.7,0.24,0.04,0.17,1.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Konstantinos Koulierakis,GRE,DF,20,2003,27.4,0,22,3,13.6,0.8,0.11,0.0,0.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Lovro Majer,CRO,MF,26,1998,3.4,2,7,5,71.4,2.07,1.48,0.14,0.2,1,1,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Lukas Nmecha,GER,FW,25,1998,5.2,3,20,9,45.0,3.85,1.73,0.15,0.33,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Mads Roerslev,DEN,DF,25,1999,3.3,0,0,0,,0.0,0.0,,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Marius Müller,GER,GK,31,1993,5.3,0,0,0,,0.0,0.0,,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Mattias Svanberg,SWE,MF,25,1999,13.5,3,21,8,38.1,1.55,0.59,0.14,0.38,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Maximilian Arnold,GER,MF,30,1994,26.2,3,27,12,44.4,1.03,0.46,0.11,0.25,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Mohamed Amoura,ALG,"FW,MF",24,2000,27.4,10,76,28,36.8,2.77,1.02,0.11,0.29,2,2,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Patrick Wimmer,AUT,"MF,FW",23,2001,19.7,3,42,10,23.8,2.14,0.51,0.07,0.3,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Ridle Baku,GER,MF,26,1998,13.0,2,18,6,33.3,1.38,0.46,0.11,0.33,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Salih Özcan,TUR,MF,26,1998,3.9,0,2,0,0.0,0.51,0.0,0.0,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Sebastiaan Bornauw,BEL,DF,25,1999,8.8,2,8,3,37.5,0.91,0.34,0.25,0.67,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Tiago Tomás,POR,"MF,FW",22,2002,20.9,6,42,20,47.6,2.01,0.96,0.14,0.3,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Yannick Gerhardt,GER,"MF,DF",30,1994,16.9,1,15,4,26.7,0.89,0.24,0.07,0.25,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
