league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2324,Clermont Foot,Jérémy Jacquet,FRA,DF,18,2005,6,2,253,2.8,0,1,1,0,0,0,0,0,0.0,0.36,0.36,0.0,0.36,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Komnen Andrić,SRB,FW,28,1995,7,1,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Massamba Ndiaye,SEN,GK,21,2001,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Mateusz Wieteska,POL,DF,26,1997,2,2,174,1.9,1,0,1,1,0,0,0,0,0.52,0.0,0.52,0.52,0.52,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Maxime Gonalons,FRA,MF,34,1989,21,17,1296,14.4,1,0,1,1,0,0,4,0,0.07,0.0,0.07,0.07,0.07,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Maximiliano Caufriez,BEL,DF,26,1997,20,20,1659,18.4,0,1,1,0,0,0,6,3,0.0,0.05,0.05,0.0,0.05,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Mehdi Zeffane,ALG,"MF,DF",31,1992,23,15,1231,13.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Mohamed Bouchenna,FRA,FW,17,2006,2,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Mory Diaw,SEN,GK,30,1993,30,30,2700,30.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Muhammed Cham,AUT,"MF,FW",22,2000,33,29,2554,28.4,8,4,12,4,4,5,4,0,0.28,0.14,0.42,0.14,0.28,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Neto Borges,BRA,"MF,DF",26,1996,28,28,2516,28.0,0,1,1,0,0,0,3,1,0.0,0.04,0.04,0.0,0.04,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Shamar Nicholson,JAM,FW,26,1997,26,17,1484,16.5,4,3,7,3,1,2,2,0,0.24,0.18,0.42,0.18,0.36,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Yohann Magnin,FRA,MF,26,1997,31,17,1687,18.7,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Clermont Foot,Yoël Armougom,FRA,"MF,DF",25,1998,5,2,234,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Le Havre,Abdoulaye Touré,GUI,MF,29,1994,30,27,2284,25.4,2,0,2,0,2,2,4,0,0.08,0.0,0.08,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
