league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ENG-Premier League,2526,West Ham,Mads Hermansen,DEN,GK,25,2000,18.0,0,0,0,,0.0,0.0,,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Mateus Fernandes,POR,MF,21,2004,33.5,3,28,8,28.6,0.84,0.24,0.11,0.38,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Max Kilman,ENG,DF,28,1997,17.3,0,7,1,14.3,0.4,0.06,0.0,0.0,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Mohamadou Kanté,FRA,MF,19,2005,0.8,0,2,0,0.0,2.4,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Nayef Aguerd,MAR,DF,29,1996,2.0,0,2,0,0.0,1.0,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Niclas Füllkrug,GER,FW,32,1993,4.5,0,9,3,33.3,1.98,0.66,0.0,0.0,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Oliver Scarles,ENG,"DF,MF",19,2005,7.3,0,3,0,0.0,0.41,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Pablo,BRA,"MF,FW",21,2004,9.1,0,12,3,25.0,1.31,0.33,0.0,0.0,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Soungoutou Magassa,FRA,MF,21,2003,10.9,1,7,2,28.6,0.64,0.18,0.14,0.5,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Tomáš Souček,CZE,MF,30,1995,24.4,5,26,14,53.8,1.06,0.57,0.19,0.36,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Valentín Castellanos,ARG,FW,26,1998,15.4,6,50,22,44.0,3.25,1.43,0.12,0.27,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,Wolves,Adam Armstrong,ENG,"FW,MF",28,1997,12.7,2,18,6,33.3,1.42,0.47,0.06,0.17,1,1,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
