league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2425,Real Madrid,Lorenzo Aguado,ESP,DF,21,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Lucas Vázquez,ESP,DF,33,1991,32,25,2189,24.3,1,5,6,1,0,0,4,0,0.04,0.21,0.25,0.04,0.25,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Luka Modrić,CRO,MF,38,1985,35,17,1827,20.3,2,6,8,2,0,0,7,0,0.1,0.3,0.39,0.1,0.39,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Raúl Asencio,ESP,DF,21,2003,23,18,1670,18.6,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Rodrygo,BRA,"MF,FW",23,2001,30,22,1928,21.4,6,5,11,6,0,0,0,0,0.28,0.23,0.51,0.28,0.51,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Thibaut Courtois,BEL,GK,32,1992,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Vinicius Júnior,BRA,"FW,MF",24,2000,30,24,2253,25.0,11,8,19,9,2,3,8,1,0.44,0.32,0.76,0.36,0.68,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Víctor Muñoz,ESP,MF,21,2003,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Éder Militão,BRA,DF,26,1998,12,11,938,10.4,1,1,2,1,0,0,2,0,0.1,0.1,0.19,0.1,0.19,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Aihen Muñoz,ESP,DF,26,1997,21,13,1098,12.2,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Ander Barrenetxea,ESP,MF,22,2001,30,14,1263,14.0,1,3,4,1,0,0,6,0,0.07,0.21,0.29,0.07,0.29,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Aritz Elustondo,ESP,DF,30,1994,22,16,1457,16.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Arkaitz Mariezkurrena,ESP,FW,19,2005,9,1,241,2.7,2,0,2,2,0,0,1,0,0.75,0.0,0.75,0.75,0.75,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Arsen Zakharyan,RUS,MF,21,2003,3,1,73,0.8,1,0,1,1,0,0,0,0,1.23,0.0,1.23,1.23,1.23,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Beñat Turrientes,ESP,MF,22,2002,21,11,942,10.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Brais Méndez,ESP,"MF,FW",27,1997,27,19,1531,17.0,3,2,5,3,0,0,4,0,0.18,0.12,0.29,0.18,0.29,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Daniel Díaz,ESP,FW,18,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Hamari Traoré,MLI,DF,32,1992,11,9,700,7.8,0,1,1,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Igor Zubeldia,ESP,DF,27,1997,28,27,2269,25.2,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Javi López,ESP,DF,22,2002,29,21,1936,21.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Jon Aramburu,VEN,DF,22,2002,35,28,2460,27.3,1,1,2,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Jon Magunazelaia,ESP,MF,23,2001,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Jon Martin,ESP,DF,18,2006,13,6,904,10.0,0,1,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Jon Pacheco,ESP,DF,23,2001,14,9,854,9.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Luka Sučić,CRO,MF,21,2002,29,21,1792,19.9,1,1,2,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Luken Beitia,ESP,DF,20,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Martín Zubimendi,ESP,MF,25,1999,36,33,2962,32.9,2,1,3,2,0,0,6,0,0.06,0.03,0.09,0.06,0.09,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Mikel Oyarzabal,ESP,FW,27,1997,35,28,2250,25.0,9,3,12,5,4,4,4,1,0.36,0.12,0.48,0.2,0.32,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Nayef Aguerd,MAR,DF,28,1996,21,21,1760,19.6,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Olasagasti,ESP,MF,23,2000,22,7,857,9.5,1,1,2,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Orri Steinn Óskarsson,ISL,FW,19,2004,23,9,944,10.5,3,0,3,3,0,0,1,0,0.29,0.0,0.29,0.29,0.29,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Pablo Marín,ESP,MF,21,2003,23,14,1239,13.8,1,2,3,1,0,0,3,0,0.07,0.15,0.22,0.07,0.22,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Sergio Gómez,ESP,MF,23,2000,37,31,2738,30.4,2,5,7,2,0,0,4,0,0.07,0.16,0.23,0.07,0.23,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Sheraldo Becker,SUR,"MF,FW",29,1995,22,11,995,11.1,2,1,3,2,0,0,1,1,0.18,0.09,0.27,0.18,0.27,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Takefusa Kubo,JPN,"MF,FW",23,2001,36,27,2372,26.4,5,0,5,5,0,0,5,0,0.19,0.0,0.19,0.19,0.19,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Umar Sadiq,NGA,FW,27,1997,7,2,227,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Unai Marrero,ESP,GK,22,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Urko González,ESP,MF,23,2001,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Álex Remiro,ESP,GK,29,1995,36,36,3240,36.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Sociedad,Álvaro Odriozola,ESP,DF,28,1995,2,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Sevilla,Adrià Pedrosa,ESP,DF,26,1998,31,27,2298,25.5,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Sevilla,Akor Adams,NGA,FW,24,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Sevilla,Albert Sambi Lokonga,BEL,MF,24,1999,22,16,1471,16.3,0,2,2,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Sevilla,Carmona,ESP,DF,22,2002,35,35,2942,32.7,0,0,0,0,0,0,11,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Sevilla,Chidera Ejuke,NGA,"MF,FW",26,1998,25,9,966,10.7,2,1,3,2,0,0,0,0,0.19,0.09,0.28,0.19,0.28,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
