league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2526,Rennes,Sebastian Szymański,POL,MF,26,1999,16,776,49,25.4,8.6,10,66,0,6,19,0,1.75,15,12,3,0.35,0.11,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Seko Fofana,CIV,MF,30,1995,12,655,55,21.4,7.3,7,83,4,5,14,1,1.5,9,12,-3,-0.41,-0.86,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Valentin Rongier,FRA,MF,30,1994,31,2745,89,89.7,30.5,31,89,30,0,,1,1.77,56,44,12,0.39,1.25,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Yassir Zabiri,MAR,MF,20,2005,6,48,8,1.6,0.5,0,,0,6,8,6,1.67,1,0,1,1.87,1.64,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Aaron Anselmino,ARG,DF,20,2005,3,16,5,0.5,0.2,0,,0,3,5,0,2.33,0,1,-1,-5.63,-5.98,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Abakar Sylla,CIV,DF,22,2002,1,2,2,0.1,0.0,0,,0,1,2,5,1.0,0,0,0,0.0,-0.32,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Abdoul Ouattara,FRA,"MF,DF",19,2005,28,1768,63,57.8,19.6,19,79,13,9,29,0,1.79,37,27,10,0.51,0.44,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Amadou Cissé,GUI,DF,19,2006,1,90,90,2.9,1.0,1,90,1,0,,4,0.0,0,3,-3,-3.0,-3.42,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Andrew Omobamidele,IRL,DF,23,2002,25,1357,54,44.3,15.1,13,82,8,12,25,2,1.56,25,21,4,0.27,-0.1,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Ben Chilwell,ENG,"DF,MF",28,1996,20,1598,80,52.2,17.8,19,83,13,1,29,4,1.45,27,24,3,0.17,-0.32,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,David Datro Fofana,CIV,FW,22,2002,5,171,34,5.6,1.9,3,51,0,2,9,4,1.2,2,2,0,0.0,-0.34,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Diego Moreira,BEL,MF,20,2004,27,2034,75,66.5,22.6,23,84,8,4,26,0,1.52,43,31,12,0.53,0.62,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Dilane Bakwa,FRA,"FW,MF",22,2002,3,107,36,3.5,1.2,0,,0,3,36,0,2.0,4,2,2,1.68,1.41,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Eduard Sobol,UKR,"DF,MF",30,1995,0,,,,,0,,0,0,,11,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Emanuel Emegha,NED,FW,22,2003,10,443,44,14.5,4.9,4,79,2,6,21,0,1.8,9,6,3,0.61,0.33,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Félix Lemaréchal,FRA,"MF,FW",21,2003,11,555,50,18.1,6.2,7,68,1,4,20,1,1.73,10,6,4,0.65,0.4,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Gabriel Kerckaert,FRA,GK,17,2007,0,,,,,0,,0,0,,1,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Gessime Yassine,MAR,MF,19,2005,12,510,43,16.7,5.7,6,72,2,6,13,5,1.58,8,9,-1,-0.18,-0.6,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Guéla Doué,CIV,"DF,MF",22,2002,24,2061,86,67.4,22.9,23,88,19,1,30,0,1.63,46,32,14,0.61,0.88,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Idrissa Sabaly,FRA,MF,17,2007,1,56,56,1.8,0.6,1,56,0,0,,1,0.0,0,3,-3,-4.82,-5.24,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Ishé Samuels-Smith,ENG,DF,19,2006,0,,,,,0,,0,0,,1,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Ismaël Doukouré,FRA,"DF,MF",22,2003,25,2072,83,67.7,23.0,25,83,19,0,,0,1.56,42,31,11,0.48,0.48,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Jean-Baptiste Bosey,FRA,FW,17,2008,1,1,1,0.0,0.0,0,,0,1,1,3,1.0,0,0,0,0.0,-0.32,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Joaquín Panichelli,ARG,FW,22,2002,27,2193,81,71.7,24.4,24,87,19,3,34,0,1.48,39,29,10,0.41,0.31,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Julio Enciso,PAR,"MF,FW",21,2004,27,1883,70,61.5,20.9,22,80,7,5,23,1,1.41,35,30,5,0.24,-0.22,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Junior Mwanga,FRA,"DF,MF",22,2003,5,377,75,12.3,4.2,5,75,3,0,,4,1.8,3,6,-3,-0.72,-1.19,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Karl-Johan Johnsson,SWE,GK,35,1990,1,90,90,2.9,1.0,1,90,1,0,,25,3.0,1,0,1,1.0,0.7,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Kendry Páez,ECU,"MF,FW",18,2007,15,424,28,13.9,4.7,4,56,0,11,18,3,1.53,6,3,3,0.64,0.36,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Lucas Høgsberg,DEN,DF,19,2006,24,1792,75,58.6,19.9,21,83,12,3,16,7,1.5,28,31,-3,-0.15,-1.14,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Mamadou Sarr,SEN,DF,19,2005,15,1305,87,42.6,14.5,15,87,14,0,,0,1.47,21,16,5,0.34,0.04,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
