league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2324,Bologna,Sam Beukema,NED,DF,24,1998,28.3,1,12,4,33.3,0.42,0.14,0.08,0.25,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Santiago Castro,ARG,FW,18,2004,2.7,1,7,3,42.9,2.6,1.12,0.14,0.33,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Stefan Posch,AUT,DF,26,1997,26.8,1,18,4,22.2,0.67,0.15,0.06,0.25,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Sydney van Hooijdonk,NED,FW,23,2000,2.4,0,5,1,20.0,2.12,0.42,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Tommaso Corazza,ITA,DF,19,2004,2.2,0,1,0,0.0,0.46,0.0,0.0,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Victor Bernth Kristiansen,DEN,DF,20,2002,25.6,0,6,2,33.3,0.23,0.08,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Łukasz Skorupski,POL,GK,32,1991,32.0,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Adam Obert,SVK,DF,20,2002,10.5,0,3,3,100.0,0.29,0.29,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Alberto Dossena,ITA,DF,24,1998,33.1,2,24,6,25.0,0.73,0.18,0.08,0.33,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Alessandro Deiola,ITA,MF,27,1995,17.9,1,25,6,24.0,1.4,0.34,0.04,0.17,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Alessandro Di Pardo,ITA,"MF,DF",24,1999,4.0,0,3,0,0.0,0.75,0.0,0.0,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Andrea Petagna,ITA,FW,28,1995,11.1,1,19,8,42.1,1.72,0.72,0.05,0.13,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Antoine Makoumbou,CGO,MF,25,1998,30.0,1,8,2,25.0,0.27,0.07,0.13,0.5,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Boris Radunović,SRB,GK,27,1996,7.0,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Edoardo Goldaniga,ITA,DF,29,1993,11.2,0,4,3,75.0,0.36,0.27,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Eldor Shomurodov,UZB,"MF,FW",28,1995,10.4,3,21,7,33.3,2.02,0.67,0.14,0.43,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Gabriele Zappa,ITA,"DF,MF",23,1999,28.5,1,19,6,31.6,0.67,0.21,0.05,0.17,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Gaetano Oristanio,ITA,"FW,MF",20,2002,12.3,2,23,5,21.7,1.87,0.41,0.09,0.4,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Gianluca Gaetano,ITA,"MF,FW",23,2000,8.3,4,14,6,42.9,1.69,0.72,0.21,0.5,1,1,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Gianluca Lapadula,PER,FW,33,1990,13.4,3,35,11,31.4,2.61,0.82,0.06,0.18,1,1,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Ibrahim Sulemana,GHA,MF,20,2003,14.9,2,13,3,23.1,0.87,0.2,0.15,0.67,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Jakub Jankto,CZE,MF,27,1996,9.7,1,12,6,50.0,1.24,0.62,0.08,0.17,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Kingstone Mutandwa,ZAM,FW,20,2003,0.4,1,2,1,50.0,4.62,2.31,0.5,1.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Leonardo Pavoletti,ITA,FW,34,1988,7.0,4,25,9,36.0,3.58,1.29,0.16,0.44,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Marco Mancosu,ITA,"MF,FW",34,1988,1.7,0,7,0,0.0,4.04,0.0,0.0,,0,1,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Mateusz Wieteska,POL,DF,26,1997,10.7,0,4,0,0.0,0.37,0.0,0.0,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Matteo Prati,ITA,MF,19,2003,21.9,1,35,11,31.4,1.6,0.5,0.03,0.09,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Nahitan Nández,URU,"MF,DF",27,1995,26.0,2,23,7,30.4,0.88,0.27,0.04,0.14,1,1,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Nicolas Viola,ITA,"MF,FW",33,1989,13.4,5,38,12,31.6,2.83,0.89,0.13,0.42,0,1,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Pantelis Hatzidiakos,GRE,DF,26,1997,9.5,0,4,2,50.0,0.42,0.21,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Paulo Azzi,BRA,"MF,DF",29,1994,10.6,0,22,2,9.1,2.08,0.19,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Simone Aresti,ITA,GK,37,1986,0.0,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Simone Scuffet,ITA,GK,27,1996,31.0,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Tommaso Augello,ITA,"DF,MF",28,1994,26.9,1,10,3,30.0,0.37,0.11,0.1,0.33,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Yerry Mina,COL,DF,28,1994,13.5,2,3,2,66.7,0.22,0.15,0.33,0.5,1,1,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Cagliari,Zito Luvumbo,ANG,"MF,FW",21,2002,21.6,4,51,16,31.4,2.36,0.74,0.08,0.25,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Alberto Cerri,ITA,FW,27,1996,6.1,1,10,3,30.0,1.65,0.5,0.1,0.33,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Alberto Grassi,ITA,MF,28,1995,20.1,0,23,5,21.7,1.15,0.25,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Andrea Sodero,ITA,MF,18,2004,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Ardian Ismajli,ALB,DF,26,1996,22.7,0,5,0,0.0,0.22,0.0,0.0,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Bartosz Bereszyński,POL,DF,31,1992,19.6,0,3,1,33.3,0.15,0.05,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Daniel Maldini,ITA,"FW,MF",21,2001,2.9,0,9,2,22.2,3.08,0.68,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Elia Caprile,ITA,GK,21,2001,23.0,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Emmanuel Ekong,SWE,FW,21,2002,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Emmanuel Gyasi,GHA,MF,29,1994,20.9,1,16,6,37.5,0.77,0.29,0.06,0.17,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Etrit Berisha,ALB,GK,34,1989,14.0,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Filippo Ranocchia,ITA,MF,22,2001,5.3,0,6,2,33.3,1.13,0.38,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Francesco Caputo,ITA,FW,35,1987,14.1,3,23,10,43.5,1.63,0.71,0.09,0.2,1,1,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Giacomo Corona,ITA,FW,19,2004,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Giuseppe Pezzella,ITA,"MF,DF",25,1997,12.1,0,3,2,66.7,0.25,0.17,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Jacopo Fazzini,ITA,MF,20,2003,13.7,1,23,4,17.4,1.68,0.29,0.04,0.25,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Liam Henderson,SCO,MF,27,1996,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Liberato Cacace,NZL,"DF,MF",22,2000,21.2,0,13,2,15.4,0.61,0.09,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,M'Baye Niang,SEN,FW,28,1994,7.9,6,24,9,37.5,3.05,1.14,0.08,0.22,4,4,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Matteo Cancellieri,ITA,"FW,MF",21,2002,19.9,4,40,13,32.5,2.01,0.65,0.1,0.31,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Mattia Destro,ITA,FW,32,1991,4.1,0,11,4,36.4,2.7,0.98,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Nicolas Haas,SUI,MF,27,1996,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Nicolò Cambiaghi,ITA,"FW,MF",22,2000,28.4,1,71,17,23.9,2.5,0.6,0.01,0.06,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Roberto Piccoli,ITA,FW,22,2001,0.4,0,1,0,0.0,2.31,0.0,0.0,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Răzvan Marin,ROU,MF,27,1996,20.2,0,35,9,25.7,1.73,0.45,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Samuele Perisan,ITA,GK,25,1997,1.0,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Sebastian Walukiewicz,POL,DF,23,2000,22.8,0,4,2,50.0,0.18,0.09,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Sebastiano Luperto,ITA,DF,26,1996,37.8,1,19,3,15.8,0.5,0.08,0.05,0.33,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Simone Bastoni,ITA,"MF,DF",26,1996,8.3,1,7,1,14.3,0.85,0.12,0.14,1.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Steven Shpendi,ALB,FW,20,2003,4.6,0,7,3,42.9,1.53,0.66,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Szymon Żurkowski,POL,MF,25,1997,9.6,4,16,6,37.5,1.66,0.62,0.25,0.67,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Tommaso Baldanzi,ITA,"MF,FW",20,2003,8.3,2,14,6,42.9,1.69,0.72,0.14,0.33,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Tyronne Ebuehi,NGA,DF,27,1995,12.2,0,5,1,20.0,0.41,0.08,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Viktor Kovalenko,UKR,MF,27,1996,6.8,1,11,4,36.4,1.62,0.59,0.09,0.25,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Empoli,Youssef Maleh,MAR,MF,24,1998,28.9,0,18,2,11.1,0.62,0.07,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Fiorentina,Alfred Duncan,GHA,MF,30,1993,21.0,2,23,6,26.1,1.1,0.29,0.09,0.33,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Fiorentina,Andrea Belotti,ITA,FW,29,1993,10.5,3,32,9,28.1,3.03,0.85,0.09,0.33,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Fiorentina,Antonín Barák,CZE,"MF,FW",28,1994,9.0,2,20,8,40.0,2.23,0.89,0.1,0.25,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Fiorentina,Arthur Melo,BRA,MF,26,1996,22.1,2,12,6,50.0,0.54,0.27,0.08,0.17,1,1,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
