league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2425,Brest,Jérémy Le Douaron,FRA,FW,26,1998,1.1,0,0,0,2,0,2,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Kamory Doumbia,MLI,"MF,FW",21,2003,14.7,1,0,0,17,22,1,48,27,30,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Kenny Lala,MAD,DF,32,1991,29.8,5,0,0,18,14,1,125,25,41,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Luck Zogbé,CIV,DF,19,2005,7.1,2,0,0,9,11,1,14,14,19,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Ludovic Ajorque,FRA,FW,30,1994,27.7,5,0,0,61,26,11,7,5,18,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Mahdi Camara,FRA,MF,26,1998,29.5,5,0,0,41,46,3,47,30,43,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Mama Samba Baldé,GNB,"FW,MF",28,1995,12.8,4,0,0,18,22,14,11,6,9,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Marco Bizot,NED,GK,33,1991,32.0,4,0,0,1,5,0,0,0,1,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Massadio Haïdara,MLI,DF,31,1992,18.6,3,2,1,20,45,0,49,25,17,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Mathias Pereira Lage,POR,"MF,FW",27,1996,17.5,4,0,0,29,28,2,99,20,24,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Pierre Lees-Melou,FRA,MF,31,1993,17.0,7,0,0,32,30,0,22,11,38,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Romain Del Castillo,FRA,"FW,MF",28,1996,14.0,0,0,0,12,17,0,105,6,21,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Romain Faivre,FRA,"MF,FW",26,1998,10.0,2,0,0,6,23,1,26,3,11,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Soumaïla Coulibaly,FRA,DF,20,2003,4.9,1,0,0,12,1,0,0,6,2,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Sérigné Diop,SEN,FW,19,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Abdoulaye Touré,GUI,MF,30,1994,25.8,5,0,0,29,44,1,11,33,34,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Alois Confais,FRA,"DF,MF",27,1996,0.0,0,0,0,1,0,1,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,André Ayew,GHA,FW,34,1989,16.1,2,0,0,19,30,6,7,3,10,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Antoine Joujou,FRA,"MF,FW",21,2003,10.5,1,0,0,7,7,2,36,10,12,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Arouna Sangante,SEN,DF,22,2002,13.8,4,1,0,22,16,1,2,22,16,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Arthur Desmas,FRA,GK,30,1994,18.0,2,0,0,1,6,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Christopher Opéri,CIV,"MF,DF",27,1997,13.0,2,1,1,8,16,3,126,16,9,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Daler Kuzyaev,RUS,MF,31,1993,6.3,1,0,0,8,3,0,6,8,8,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Elysée Logbo,FRA,FW,20,2004,0.3,0,0,0,0,0,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Emmanuel Sabbi,USA,"MF,FW",26,1997,7.3,1,0,0,11,16,2,15,3,7,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Etienne Youte Kinkoue,FRA,DF,22,2002,25.8,4,1,0,14,6,0,2,29,10,,,1,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Fodé Ballo-Touré,SEN,"DF,MF",27,1997,6.5,0,0,0,3,14,0,21,5,7,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Le Havre,Gautier Lloris,FRA,DF,29,1995,30.8,5,0,0,31,7,2,3,35,44,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
