league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2425,Bologna,Lorenzo De Silvestri,ITA,DF,36,1988,11.8,1,0,0,17,8,1,23,9,6,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Martin Erlić,CRO,DF,26,1998,3.7,0,0,0,7,7,0,0,2,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Michel Aebischer,SUI,MF,27,1997,8.0,2,0,0,16,16,0,13,7,13,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Nicolò Cambiaghi,ITA,"MF,FW",23,2000,6.9,0,0,0,9,34,0,47,1,8,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Nicolò Casale,ITA,DF,26,1998,10.0,1,0,0,23,8,0,0,20,4,,,1,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Nikola Moro,CRO,MF,26,1998,13.4,1,0,0,22,9,0,33,12,27,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Oussama El Azzouzi,MAR,MF,23,2001,0.2,0,0,0,0,2,0,0,2,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Remo Freuler,SUI,MF,32,1992,35.6,6,0,0,47,18,1,20,41,40,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Riccardo Orsolini,ITA,"MF,FW",27,1997,20.9,2,0,0,27,46,12,70,9,14,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Sam Beukema,NED,DF,25,1998,33.5,1,0,0,28,36,2,8,30,28,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Samuel Iling-Junior,ENG,MF,20,2003,1.3,0,0,0,2,1,0,9,2,2,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Santiago Castro,ARG,FW,19,2004,25.5,7,0,0,49,53,9,9,3,10,,,1,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Stefan Posch,AUT,DF,27,1997,7.9,1,0,0,16,17,1,18,5,14,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Thijs Dallinga,NED,FW,23,2000,12.8,1,0,0,24,17,8,2,1,6,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
